,Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
0,1/1/2016,11009,24371025,24429,44606414,159362,919,51.0,
1,1/2/2016,14587,24385612,29093,44635507,159403,877,34.0,
2,1/3/2016,15499,24401111,29616,44665123,159459,784,27.0,
3,1/4/2016,19593,24420704,36172,44701295,159502,166,33.0,
4,1/5/2016,18053,24438757,32049,44733344,159534,121,22.0,
5,1/6/2016,24569,24463326,40996,44774340,159564,265,27.0,
6,1/7/2016,27773,24491099,45986,44820326,159588,318,24.0,
7,1/8/2016,28709,24519808,47061,44867387,159621,364,28.0,
8,1/9/2016,20846,24540654,37341,44904728,159654,632,20.0,
9,1/10/2016,14275,24554929,25404,44930132,159682,391,18.0,
10,1/11/2016,22937,24577866,37393,44967525,159731,155,32.0,
11,1/12/2016,25211,24603077,38958,45006483,159761,151,23.0,
12,1/13/2016,21133,24624210,31608,45038091,159792,82,15.0,
13,1/14/2016,23780,24647990,37295,45075386,159813,123,29.0,
14,1/15/2016,28435,24676425,45993,45121379,159841,379,27.0,
15,1/16/2016,19178,24695603,35791,45157170,159885,803,37.0,
16,1/17/2016,12024,24707627,20487,45177657,159910,387,22.0,
17,1/18/2016,12718,24720345,19998,45197655,159931,123,13.0,
18,1/19/2016,17281,24737626,26966,45224621,159957,64,12.0,
19,1/20/2016,23419,24761045,35477,45260098,159972,126,11.0,
20,1/21/2016,23671,24784716,36048,45296146,159991,133,15.0,
21,1/22/2016,20950,24805666,31344,45327490,160004,115,6.0,
22,1/23/2016,0,24805666,0,45327490,160005,0,0.0,
23,1/24/2016,0,24805666,0,45327490,160013,0,0.0,
24,1/25/2016,0,24805666,0,45327490,160020,0,0.0,
25,1/26/2016,0,24805666,0,45327490,160028,0,0.0,
26,1/27/2016,6760,24812426,13698,45341188,160039,54,6.0,
27,1/28/2016,11944,24824370,22314,45363502,160053,81,9.0,
28,1/29/2016,16028,24840398,26896,45390398,160064,118,27.0,
29,1/30/2016,12964,24853362,23350,45413748,160084,328,23.0,
30,1/31/2016,16112,24869474,31280,45445028,160118,533,17.0,
31,2/1/2016,24334,24893808,42380,45487408,160160,202,31.0,
32,2/2/2016,28527,24922335,47742,45535150,160189,280,31.0,
33,2/3/2016,16203,24938538,24225,45559375,160216,63,12.0,
34,2/4/2016,27765,24966303,47458,45606833,160247,304,24.0,
35,2/5/2016,13669,24979972,25538,45632371,160257,102,7.0,
36,2/6/2016,16933,24996905,38782,45671153,160280,586,35.0,
37,2/7/2016,17605,25014510,31524,45702677,160316,622,30.0,
38,2/8/2016,19026,25033536,28648,45731325,160335,80,20.0,
39,2/9/2016,22740,25056276,40198,45771523,160364,156,9.0,
40,2/10/2016,22418,25078694,38402,45809925,160395,130,17.0,
41,2/11/2016,18747,25097441,27783,45837708,160425,87,15.0,
42,2/12/2016,16445,25113886,27143,45864851,160450,104,16.0,
43,2/13/2016,6625,25120511,11589,45876440,160459,46,4.0,
44,2/14/2016,4652,25125163,6934,45883374,160468,78,4.0,
45,2/15/2016,5883,25131046,8747,45892121,160480,43,1.0,
46,2/16/2016,14225,25145271,27802,45919923,160505,53,19.0,
47,2/17/2016,23572,25168843,38304,45958227,160528,182,26.0,
48,2/18/2016,22261,25191104,34431,45992658,160550,202,26.0,
49,2/19/2016,21959,25213063,35317,46027975,160568,268,17.0,
50,2/20/2016,24484,25237547,53540,46081515,160618,1710,50.0,
51,2/21/2016,20052,25257599,41645,46123160,160685,1228,29.0,
52,2/22/2016,28233,25285832,48237,46171397,160749,455,37.0,
53,2/23/2016,16133,25301965,26379,46197776,160784,62,10.0,
54,2/24/2016,9761,25311726,14994,46212770,160814,38,3.0,
55,2/25/2016,25102,25336828,42707,46255477,160849,237,23.0,
56,2/26/2016,22574,25359402,36101,46291578,160887,254,19.0,
57,2/27/2016,17226,25376628,37583,46329161,160910,706,18.0,
58,2/28/2016,25440,25402068,61595,46390756,160982,2335,43.0,
59,2/29/2016,27957,25430025,47933,46438689,161089,376,58.0,
60,3/1/2016,30509,25460534,55160,46493849,161146,470,66.0,
61,3/2/2016,26195,25486729,43535,46537384,161198,235,35.0,
62,3/3/2016,24061,25510790,37848,46575232,161243,215,22.0,
63,3/4/2016,17369,25528159,29100,46604332,161268,150,16.0,
64,3/5/2016,18023,25546182,36875,46641207,161310,785,46.0,
65,3/6/2016,18832,25565014,36377,46677584,161379,837,40.0,
66,3/7/2016,31492,25596506,56232,46733816,161493,633,58.0,
67,3/8/2016,36521,25633027,67958,46801774,161604,723,98.0,
68,3/9/2016,41489,25674516,81662,46883436,161732,1226,125.0,
69,3/10/2016,42252,25716768,82079,46965515,161867,1271,111.0,
70,3/11/2016,38193,25754961,76636,47042151,161987,1266,79.0,
71,3/12/2016,32770,25787731,81491,47123642,162086,3247,105.0,
72,3/13/2016,27549,25815280,63214,47186856,162214,2216,67.0,
73,3/14/2016,10930,25826210,16498,47203354,162289,70,17.0,
74,3/15/2016,31595,25857805,57722,47261076,162380,582,79.0,
75,3/16/2016,36067,25893872,68713,47329789,162482,930,78.0,
76,3/17/2016,35390,25929262,65353,47395142,162583,785,98.0,
77,3/18/2016,34647,25963909,69122,47464264,162670,933,87.0,
78,3/19/2016,24048,25987957,49113,47513377,162733,1411,69.0,
79,3/20/2016,16676,26004633,29737,47543114,162795,633,40.0,
80,3/21/2016,26414,26031047,44457,47587571,162890,428,57.0,
81,3/22/2016,33496,26064543,62248,47649819,163000,705,99.0,
82,3/23/2016,40981,26105524,80289,47730108,163136,1279,120.0,
83,3/24/2016,36495,26142019,67590,47797698,163216,1045,101.0,
84,3/25/2016,34091,26176110,70525,47868223,163320,1684,128.0,
85,3/26/2016,27474,26203584,67267,47935490,163407,2834,108.0,
86,3/27/2016,22481,26226065,52462,47987952,163501,2080,67.0,
87,3/28/2016,20344,26246409,35548,48023500,163589,375,60.0,
88,3/29/2016,31481,26277890,55067,48078567,163681,588,97.0,
89,3/30/2016,33674,26311564,61264,48139831,163770,769,64.0,
90,3/31/2016,38192,26349756,79447,48219278,163865,1141,91.0,
0,4/1/2016,34448,26384204,67595,48286873,163963,1113,82.0,0.0
1,4/2/2016,21838,26406042,46206,48333079,164031,1193,63.0,0.0
2,4/3/2016,15321,26421363,28615,48361694,164102,448,31.0,0.0
3,4/4/2016,12302,26433665,20143,48381837,164167,49,19.0,0.0
4,4/5/2016,26236,26459901,43723,48425560,164237,341,56.0,0.0
5,4/6/2016,29364,26489265,48901,48474461,164310,443,37.0,0.0
6,4/7/2016,30400,26519665,54591,48529052,164366,280,65.0,0.0
7,4/8/2016,30811,26550476,53039,48582091,164425,542,51.0,0.0
8,4/9/2016,12698,26563174,21151,48603242,164455,346,21.0,0.0
9,4/10/2016,23228,26586402,49190,48652432,164536,1508,48.0,0.0
10,4/11/2016,32048,26618450,59206,48711638,164632,668,82.0,0.0
11,4/12/2016,23765,26642215,43504,48755142,164703,316,50.0,0.0
12,4/13/2016,37538,26679753,71788,48826930,164790,761,106.0,0.0
13,4/14/2016,38502,26718255,88278,48915208,164885,963,93.0,0.0
14,4/15/2016,39676,26757931,86981,49002189,164996,1273,118.0,0.0
15,4/16/2016,36148,26794079,102228,49104417,165139,3726,141.0,0.0
16,4/17/2016,38838,26832917,115805,49220222,165354,4348,190.0,0.0
17,4/18/2016,43989,26876906,102730,49322952,165576,1595,197.0,0.0
18,4/19/2016,46075,26922981,107515,49430467,165812,1130,184.0,0.0
19,4/20/2016,44542,26967523,104249,49534716,166002,1160,116.0,0.0
20,4/21/2016,45568,27013091,104484,49639200,166153,1307,149.0,0.0
21,4/22/2016,48806,27061897,113556,49752756,166319,4230,105.0,0.0
22,4/23/2016,33631,27095528,96274,49849030,166462,3309,155.0,0.0
23,4/24/2016,37862,27133390,115132,49964162,166692,4026,177.0,0.0
24,4/25/2016,42303,27175693,100925,50065087,166902,1698,170.0,0.0
25,4/26/2016,34639,27210332,75454,50140541,167048,741,97.0,0.0
26,4/27/2016,41931,27252263,93272,50233813,167196,1395,110.0,0.0
27,4/28/2016,37428,27289691,74857,50308670,167311,927,95.0,0.0
28,4/29/2016,34878,27324569,78020,50386690,167439,1051,122.0,0.0
29,4/30/2016,38258,27362827,110776,50497466,167638,4244,165.0,0.0
30,5/1/2016,10697,27373524,29020,50526486,167721,260,24.0,0.0
31,5/2/2016,38536,27412060,84418,50610904,167842,967,152.0,0.0
32,5/3/2016,22858,27434918,57652,50668556,167987,350,45.0,0.0
33,5/4/2016,31619,27466537,67962,50736518,168111,449,84.0,0.0
34,5/5/2016,39903,27506440,80750,50817268,168262,970,107.0,0.0
35,5/6/2016,18860,27525300,42069,50859337,168326,275,45.0,0.0
