,Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),Total Annual Memberships Sold,Cumulative trips (since launch),Miles traveled to date,Total Annual Members (All Time),3-Day Passes Purchased (midnight to 11:59 pm)
0,5/27/2013,9767,9767,21.533,"21,533",17216.0,2043,0,0,,,,,,
1,5/28/2013,5215,14982,8.78,"30,313",19816.0,2598,0,0,,,,,,
2,5/29/2013,10981,25963,21.898000000000003,"52,211",21986.0,2167,0,0,,,,,,
3,5/30/2013,9850,35813,20.320999999999998,"72,532",23985.0,1998,0,0,,,,,,
4,5/31/2013,9253,45066,20.243,"92,775",25615.0,1630,0,0,,,,,,
5,6/1/2013,9852,54918,26.346999999999998,"119,122",26756.0,1141,0,0,,,,,,
6,6/2/2013,17590,72508,52.143,"171,266",28253.0,1496,4723,289,,,,,,
7,6/3/2013,8599,81107,18.907,"190,173",29616.0,1363,1160,221,,,,,,
8,6/4/2013,17589,98696,48.666000000000004,"238,839",31095.0,1479,2922,394,,,,,,
9,6/5/2013,17433,116129,44.917,"283,757",32620.0,1530,2821,279,,,,,,
10,6/6/2013,13732,129861,30.987,"314,743",33954.0,1334,1872,210,,,,,,
11,6/7/2013,1393,131254,2.065,"316,809",34449.0,495,66,11,,,,,,
12,6/8/2013,19899,151153,54.665,"371,473",35233.0,784,5013,230,,,,,,
13,6/9/2013,23236,174389,71.604,"443,077",36295.0,1062,5772,275,,,,,,
14,6/10/2013,4504,178893,10.138,"453,215",37086.0,791,290,82,,,,,,
15,6/11/2013,14638,193531,34.63,"487,845",37894.0,808,1836,273,,,,,,
16,6/12/2013,18960,212491,45.714,"533,559",38805.0,911,2767,316,,,,,,
17,6/13/2013,8782,221273,15.075,"548,634",39442.0,637,701,119,,,,,,
18,6/14/2013,16423,237696,33.98,"582,614",40078.0,636,2268,211,,,,,,
19,6/15/2013,27276,264972,72.792,"655,406",40702.0,624,6107,319,,,,,,
20,6/16/2013,23610,288582,59.573,"714,979",41541.0,839,4413,314,,,,,,
21,6/17/2013,21278,309860,43.897,"758,876",42564.0,1023,2378,530,,,,,,
22,6/18/2013,14826,324686,27.67,"786,546",43394.0,830,1236,277,,,,,,
23,6/19/2013,26267,350953,54.405,"840,951",44223.0,829,2678,607,,,,,,
24,6/20/2013,28994,379947,59.935,"900,886",45024.0,801,2814,421,,,,,,
25,6/21/2013,30660,410607,64.872,"965,759",45815.0,791,3465,408,,,,,,
26,6/22/2013,31885,442492,80.433,"1,046,191",46448.0,633,5902,383,,,,,,
27,6/23/2013,30653,473145,76.45,"1,122,641",47203.0,755,4959,279,,,,,,
28,6/24/2013,26636,499781,50.663999999999994,"1,173,305",48135.0,932,1844,386,,,,,,
29,6/25/2013,30426,530207,56.075,"1,229,380",48915.0,780,1937,343,,,,,,
30,6/26/2013,32322,562529,59.663000000000004,"1,289,043",49665.0,750,2000,301,,,,,,
31,6/27/2013,28094,590623,55.26,"1,344,304",50355.0,690,1680,223,,,,,,
32,6/28/2013,30595,621218,58.037,"1,402,340",51029.0,674,2268,291,,,,,,
33,6/29/2013,32947,654165,77.226,"1,479,567",51505.0,476,4895,296,,,,,,
34,6/30/2013,27285,681450,61.052,"1,540,619",52125.0,620,3592,178,,,,,,
35,7/1/2013,20151,701601,36.168,"1,576,787",52722.0,597,846,167,,,,,,
36,7/2/2013,26682,728283,48.733000000000004,"1,625,520",53310.0,588,1435,219,,,,,,
37,7/3/2013,25509,753792,46.016000000000005,"1,671,537",53748.0,438,1419,189,,,,,,
38,7/4/2013,26004,779796,63.674,"1,735,210",54073.0,325,4219,257,,,,,,
39,7/5/2013,25541,805337,53.419,"1,788,629",54507.0,434,2803,215,,,,,,
40,7/6/2013,23697,829034,53.761,"1,842,391",54843.0,336,3178,172,,,,,,
41,7/7/2013,23688,852722,50.63399999999999,"1,893,025",55284.0,441,2703,186,,,,,,
42,7/8/2013,26063,878785,49.831,"1,942,856",55971.0,687,1453,321,,,,,,
43,7/9/2013,30929,909714,55.498999999999995,"1,998,355",56610.0,639,1379,287,,,,,,
44,7/10/2013,30705,940419,55.948,"2,054,304",57194.0,584,1435,223,,,,,,
45,7/11/2013,29689,970108,56.393,"2,110,697",57725.0,531,1478,196,,,,,,
46,7/12/2013,22817,992925,39.97,"2,150,667",58133.0,408,1096,118,,,,,,
47,7/13/2013,30132,1023057,64.833,"2,215,501",58495.0,362,3285,213,,,,,,
48,7/14/2013,33545,1056602,75.02,"2,290,520",58954.0,459,3681,224,,,,,,
49,7/15/2013,32565,1089167,57.755,"2,348,275",59593.0,639,1382,273,,,,,,
50,7/16/2013,34757,1123924,61.856,"2,410,132",60129.0,536,1288,251,,,,,,
51,7/17/2013,35172,1159096,60.698,"2,470,829",60619.0,490,1303,201,,,,,,
